,Descriptions,Amount,Category,date,customer_id,type,is_scam_transaction,fraud_type,case_id,transaction_id,month,customer_scammed,bank_to,bank_from,transac_prob,customer_prob,date_DF_created
1,,1838.13,Housing,2023-10-01,12782,spending,0,none,,,October,1,bank_A,bank_D,0.78,0.6,2024-02-03
2,,33.61,Dining Out,2023-10-01,13021,spending,0,none,,,October,0,bank_A,bank_B,0.33,0.39,2024-02-03
3,,15568.0710303743,Income,2023-10-01,13021,income,0,none,,,October,0,bank_B,bank_C,,0.39,2024-02-03
4,,1120.26,Housing,2023-10-01,13021,spending,0,none,,,October,0,bank_C,bank_B,0.67,0.39,2024-02-03
5,,30.75,Utilities,2023-10-01,16239,spending,0,none,,,October,0,bank_D,bank_A,0.11,0.65,2024-02-03
6,,477.37,Transfers,2023-10-01,16239,spending,0,none,,,October,0,bank_B,bank_A,0.58,0.65,2024-02-03
7,,311.6,Transfers,2023-10-01,16239,spending,0,none,,,October,0,bank_E,bank_A,0.56,0.65,2024-02-03
8,,96.05,Cash Withdrawal,2023-10-01,16239,spending,0,none,,,October,0,,bank_A,0.16,0.65,2024-02-03
9,,1449.7,Housing,2023-10-01,16239,spending,0,none,,,October,0,bank_E,bank_A,0.63,0.65,2024-02-03
10,,15588.00369707294,Income,2023-10-01,16239,income,0,none,,,October,0,bank_A,bank_D,,0.65,2024-02-03
11,,51.41,Healthcare,2023-10-01,17216,spending,0,none,,,October,0,bank_B,bank_B,0.5,0.55,2024-02-03
12,,17024.217812557217,Income,2023-10-01,19746,income,0,none,,,October,0,bank_B,bank_D,,0.68,2024-02-03
13,,44.53,Utilities,2023-10-01,19746,spending,0,none,,,October,0,bank_C,bank_B,0.57,0.68,2024-02-03
14,,10.75,Groceries,2023-10-01,19746,spending,0,none,,,October,0,bank_E,bank_B,0.19,0.68,2024-02-03
15,,557.94,Home Improvement,2023-10-01,19746,spending,0,none,,,October,0,bank_E,bank_B,0.72,0.68,2024-02-03
16,,1343.5,Housing,2023-10-01,19746,spending,0,none,,,October,0,bank_B,bank_B,0.55,0.68,2024-02-03
17,,125.68,Utilities,2023-10-01,19583,spending,0,none,,,October,0,bank_C,bank_B,0.4,0.29,2024-02-03
18,,20.32,Personal care,2023-10-01,19583,spending,0,none,,,October,0,bank_B,bank_B,0.31,0.29,2024-02-03
19,,723.9,Holiday,2023-10-01,19583,spending,0,none,,,October,0,bank_A,bank_B,0.75,0.29,2024-02-03
20,,15814.39092851312,Income,2023-10-01,19583,income,0,none,,,October,0,bank_B,bank_B,,0.29,2024-02-03
21,,858.26,Housing,2023-10-01,19583,spending,0,none,,,October,0,bank_E,bank_B,0.63,0.29,2024-02-03
22,,304.57,Credit Card Payment,2023-10-01,19583,spending,0,none,,,October,0,bank_C,bank_B,0.56,0.29,2024-02-03
23,,9.41,Charity,2023-10-01,17747,spending,0,none,,,October,0,bank_C,bank_C,0.24,0.32,2024-02-03
24,,1771.72,Housing,2023-10-01,17747,spending,0,none,,,October,0,bank_E,bank_C,0.65,0.32,2024-02-03
25,,7.35,Cash Withdrawal,2023-10-01,13021,spending,0,none,,,October,0,,bank_B,0.24,0.39,2024-02-03
26,,334.98,Transfers,2023-10-01,13021,spending,0,none,,,October,0,bank_A,bank_B,0.71,0.39,2024-02-03
27,,195.96,Utilities,2023-10-01,13021,spending,0,none,,,October,0,bank_A,bank_B,0.64,0.39,2024-02-03
28,,107.32,Groceries,2023-10-01,13021,spending,0,none,,,October,0,bank_E,bank_B,0.48,0.39,2024-02-03
