"",transaction_description,Category,Subcategory,Amount,origin,date,customer_id,type,fraud_type,customer_scammed,bank_to,bank_from,factor_increase,newAmount
686,BJ's Wholesale Club,Groceries,Groceries,22.884045596820776,non-fraud,2024-02-03T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,45.01070541465031
19993,WinCo Foods,Groceries,Groceries,6.849564410621263,non-fraud,2024-02-09T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,13.472431026268294
33198,Woolworths,Groceries,Groceries,6.331934762718426,non-fraud,2024-02-04T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,12.454303549766472
23261,Tesco,Groceries,Groceries,44.04265903396543,non-fraud,2024-02-24T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,86.62765257429456
20773,Publix,Groceries,Groceries,26.535541562646987,non-fraud,2024-02-13T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,52.19284497757013
7162,Grocery Shopping - Neighborhood Store,Groceries,Groceries,25.062905277528067,non-fraud,2024-02-02T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,49.29631176922775
2997,ATM Withdrawal - DEF Bank ATM,Cash Withdrawal,Cash Withdrawal,18.024747119221274,non-fraud,2024-02-28T00:00:00.000000000,1,spending,none,0,nan,bank_C,1.9669033267834224,35.452935073226236
1635,ATM Withdrawal - GHI Bank ATM,Cash Withdrawal,Cash Withdrawal,62.75757901705715,non-fraud,2024-02-19T00:00:00.000000000,1,spending,none,0,nan,bank_C,1.9669033267834224,123.4380909495232
1333,ATM Withdrawal - XYZ Bank Branch,Cash Withdrawal,Cash Withdrawal,36.95634928050488,non-fraud,2024-02-16T00:00:00.000000000,1,spending,none,0,nan,bank_C,1.9669033267834224,72.68956634559518
26,Everyman cinema ,Entertainment,Entertainment,33.81847032965202,non-fraud,2024-02-21T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,66.51766179811902
1214,Paintball ,Entertainment,Entertainment,17.162031039383212,non-fraud,2024-02-15T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,33.7560559457232
3016,Cinemacity,Entertainment,Entertainment,16.97343729169768,non-fraud,2024-02-15T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,33.38511027598997
2542,Art Gallery and Museum ,Entertainment,Entertainment,10.649527794838214,non-fraud,2024-02-25T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,20.94659164833981
6589,On the Beach,Holiday,Holiday,221.31676922543394,non-fraud,2024-02-11T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,435.308689662465
213,Abellio Scotrail,Transportation,Transportation,26.306821485666667,non-fraud,2024-02-24T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,51.742974697255384
3017,National express,Transportation,Transportation,4.783058451939394,non-fraud,2024-02-09T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,9.40781358131916
1750,Abellio Scotrail,Transportation,Transportation,6.456326383532286,non-fraud,2024-02-22T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,12.698969842569236
1035,TFL,Transportation,Transportation,11.444029114875127,non-fraud,2024-02-13T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,22.509298937854233
2851,LNER,Transportation,Transportation,14.951070295240084,non-fraud,2024-02-24T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,29.407309902680527
5919,Fuel Purchase - Gas Station,Transportation,Fuel,56.83092018021613,non-fraud,2024-02-24T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,111.78092596663025
3597,Fuel Purchase - Gas Station,Transportation,Fuel,21.708344148483324,non-fraud,2024-02-29T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,42.69821432461129
5090,Scotrail ,Transportation,Transportation,40.38313780228025,non-fraud,2024-02-20T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,79.42972808925842
19103,Dutch Bros Coffee,Dining Out,cafes,2.804830417706071,non-fraud,2024-02-24T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,5.516830279649407
1553,Monthly Service Fee - Current Account Maintenance,Bank Fees,Bank Fees,1.749507957253,non-fraud,2024-02-21T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,5.749507957253
612,Monthly Account Maintenance Fee,Bank Fees,Bank Fees,0.7704255224600366,non-fraud,2024-02-24T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,4.7704255224600365
1743,Monthly Account Maintenance Fee,Bank Fees,Bank Fees,2.267137605155837,non-fraud,2024-02-06T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,4.4592404978568165
3910,Monthly Service Fee - Account Maintenance,Bank Fees,Bank Fees,4.289504601613433,non-fraud,2024-02-15T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,8.43704087116626
1108,Harveys,Home Improvement,Home Improvement,104.38864566040547,non-fraud,2024-02-24T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,205.3223744278674
5855,Transfer to Vacation Fund,Transfers,Transfers,50.282303239305826,non-fraud,2024-02-17T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,98.90042951972349
15540,Transfer from Current to Savings,Transfers,Transfers,183.25694588932225,non-fraud,2024-02-15T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,360.44869652587755
15064,Transfer from Savings to Current,Transfers,Transfers,389.22940679242714,non-fraud,2024-02-25T00:00:00.000000000,1,income,none,0,bank_C,bank_D,1.9669033267834224,765.576615101963
8909,Spire Healthcare,Healthcare,Healthcare,28.252948456464154,non-fraud,2024-02-17T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,55.5708183104599
11409,Spire Healthcare,Healthcare,Healthcare,21.33918191897122,non-fraud,2024-02-18T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,41.97210790726115
4757,Crisis,Charity,Charity,3.1178157862054605,non-fraud,2024-02-21T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,6.132442242185392
10621,Shelter,Charity,Charity,4.076835056351027,non-fraud,2024-02-05T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,8.018740435084116
1091,Interest Earned - Savings Account,Interest,Interest,3.3746242936921393,non-fraud,2024-02-10T00:00:00.000000000,1,income,none,0,bank_C,bank_D,1.9669033267834224,6.637559749907226
144,Interest Earned - Savings Account,Interest,Interest,4.104923486857382,non-fraud,2024-02-08T00:00:00.000000000,1,income,none,0,bank_C,bank_D,1.9669033267834224,8.073987662491191
2246,Paycheck Deposit - Company Name,Income,Income,2015.8143668837563,non-fraud,2024-02-23T00:00:00.000000000,1,income,none,0,bank_C,bank_C,1.9669033267834224,3964.9119844014785
3819,Interactive Brokers ,Investment,Investment,59.00977986092343,non-fraud,2024-02-07T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,116.06653232120769
2676,AJ Bells ,Investment,Investment,54.74033842395739,non-fraud,2024-02-23T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,107.6689537553322
22659,Boohoo - Cheap Fashion Finds,Shopping,Shopping,60.77935098282382,non-fraud,2024-02-15T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,119.54710764785345
2380,Boohoo - Cheap Fashion Finds,Shopping,Shopping,46.16534185366,non-fraud,2024-02-22T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,90.80276447405782
7671,Scan,Electronics,Electronics,166.03472535599684,non-fraud,2024-02-05T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,326.574253664282
4154,SLC,Loan Payment,Loan Payment,64.26231636561191,non-fraud,2024-02-08T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,126.39776384633083
3251,Car Loan Payment - Auto Finance Inc.,Loan Payment,Loan Payment,62.845856941505694,non-fraud,2024-02-21T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,123.61172509280259
5147,Rent,Housing,Housing,606.6980610384904,non-fraud,2024-02-02T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,1193.3164346096587
10275,Aliexpress,Online Shopping,Online Shopping,31.310574748727426,non-fraud,2024-02-17T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,61.58487363677299
4594,Online Retailer - Clothing Purchase,Online Shopping,Online Shopping,28.674274914059485,non-fraud,2024-02-25T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,56.39952672156603
10929,Forever 21 - Activewear,Online Shopping,Online Shopping,23.373586814217255,non-fraud,2024-02-14T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,45.973585663745055
1862,Urban Outfitters - Affordable Fashion,Online Shopping,Online Shopping,68.11043134498262,non-fraud,2024-02-06T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,133.9666340011002
2417,Sallys,Personal care,Personal care,13.24971393314084,non-fraud,2024-02-21T00:00:00.000000000,1,spending,none,0,bank_A,bank_C,1.9669033267834224,26.060906414023382
1299,Credit Card Payment - American Express **** 6789,Credit Card Payment,Credit Card Payment,31.539294825707746,non-fraud,2024-02-16T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,62.034743917087745
26397,Kmart Super Centers,Groceries,Groceries,4.3737698931325,non-fraud,2024-03-15T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,8.602782553387488
10936,ATM Withdrawal - MNO Bank ATM,Cash Withdrawal,Cash Withdrawal,7.182612943768049,non-fraud,2024-03-22T00:00:00.000000000,1,spending,none,0,nan,bank_C,1.9669033267834224,14.127505294095046
9060,ATM Withdrawal - DEF Bank ATM,Cash Withdrawal,Cash Withdrawal,34.1916451920936,non-fraud,2024-03-29T00:00:00.000000000,1,spending,none,0,nan,bank_C,1.9669033267834224,67.25166067652732
1692,DesignMyNight ,Entertainment,Entertainment,12.138214611675055,non-fraud,2024-03-12T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,23.874694700914812
3114,Everyman cinema ,Entertainment,Entertainment,13.980013126306082,non-fraud,2024-03-31T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,27.497334326607344
3771,Paintball ,Entertainment,Entertainment,27.438383971779842,non-fraud,2024-03-20T00:00:00.000000000,1,spending,none,0,bank_E,bank_C,1.9669033267834224,53.96864871565471
1129,Everyman cinema ,Entertainment,Entertainment,9.826938044294945,non-fraud,2024-03-15T00:00:00.000000000,1,spending,none,0,bank_D,bank_C,1.9669033267834224,19.328637131418304
2767,Pontins,Holiday,Holiday,160.23245813996968,non-fraud,2024-03-06T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,315.1617549741918
10533,Shearings Holidays,Holiday,Holiday,195.45936262786898,non-fraud,2024-03-27T00:00:00.000000000,1,spending,none,0,bank_C,bank_C,1.9669033267834224,384.44967060372284
1199,Gas Station - Fuel Purchase,Transportation,Fuel,7.527699375703275,non-fraud,2024-03-23T00:00:00.000000000,1,spending,none,0,bank_B,bank_C,1.9669033267834224,14.806256945096264
