,Unnamed: 0,transaction_description,Category,Subcategory,Amount,origin,date,customer_id,type,month
0,9157,BFI Player,Utilities,TV,19.66,non-fraud,2023-10-01,16400,spending,October
1,1947,Gas Station - Fuel Purchase,Transportation,Fuel,64.22,non-fraud,2023-10-01,16400,spending,October
2,18049,Hy-Vee,Groceries,Groceries,53.92,non-fraud,2023-10-01,16400,spending,October
3,9761,Counter Culture Coffee,Dining Out,cafes,4.4,non-fraud,2023-10-01,16400,spending,October
4,8998,Fred. Olsen Cruise Lines,Holiday,Holiday,343.53,non-fraud,2023-10-01,16400,spending,October
5,4560,Direct Debit Mortg. TSB ,Housing,Housing,1230.96,non-fraud,2023-10-01,16400,spending,October
6,3728,Credit Card Payment - Mastercard **** 5678,Credit Card Payment,Credit Card Payment,258.19,non-fraud,2023-10-01,16400,spending,October
7,4923,ATM Withdrawal - ABC Bank ATM,Cash Withdrawal,Cash Withdrawal,124.03,non-fraud,2023-10-01,16400,spending,October
8,3991,Loans company ,Loan Payment,Loan Payment,140.79,non-fraud,2023-10-01,16400,spending,October
9,1604,Paycheck Deposit - Company Name,Income,Income,14243.649444520548,non-fraud,2023-10-01,16400,income,October
10,13047,The Children's Society,Charity,Charity,11.47,non-fraud,2023-10-01,16400,spending,October
11,10847,Bulb,Utilities,Bills,106.55,non-fraud,2023-10-02,16400,spending,October
12,13031,Transfer to Vacation Fund,Transfers,Transfers,378.48,non-fraud,2023-10-02,16400,spending,October
13,968,GiffGaff,Utilities,Mobile,16.23,non-fraud,2023-10-03,16400,spending,October
14,1977,ATM Withdrawal - ABC Bank ATM,Cash Withdrawal,Cash Withdrawal,52.58,non-fraud,2023-10-03,16400,spending,October
15,10019,Philz Coffee,Dining Out,cafes,4.84,non-fraud,2023-10-03,16400,spending,October
16,4288,ATM Withdrawal - MNO Bank ATM,Cash Withdrawal,Cash Withdrawal,98.09,non-fraud,2023-10-04,16400,spending,October
17,10109,Counseling,Healthcare,Healthcare,17.6,non-fraud,2023-10-05,16400,spending,October
18,8343,Piggly Wiggly,Groceries,Groceries,30.99,non-fraud,2023-10-05,16400,spending,October
19,2154,Stagecoach,Transportation,Transportation,18.52,non-fraud,2023-10-05,16400,spending,October
20,8046,Boohoo - Trendy Fashion,Shopping,Shopping,140.33,non-fraud,2023-10-05,16400,spending,October
21,13826,Transfer from Current to Savings,Transfers,Transfers,191.08,non-fraud,2023-10-06,16400,spending,October
22,8212,ATM Withdrawal - MNO Bank ATM,Cash Withdrawal,Cash Withdrawal,8.19,non-fraud,2023-10-08,16400,spending,October
23,6694,ATM Withdrawal - GHI Bank ATM,Cash Withdrawal,Cash Withdrawal,40.01,non-fraud,2023-10-08,16400,spending,October
24,3665,ATM Withdrawal - XYZ Bank Branch,Cash Withdrawal,Cash Withdrawal,32.77,non-fraud,2023-10-08,16400,spending,October
25,8776,Transfer to Investment Account,Transfers,Transfers,663.51,non-fraud,2023-10-08,16400,spending,October
26,3646,Credit Card Payment - Mastercard **** 2345,Credit Card Payment,Credit Card Payment,290.26,non-fraud,2023-10-11,16400,spending,October
27,14746,Transfer to Emergency Fund,Transfers,Transfers,455.73,non-fraud,2023-10-12,16400,spending,October
28,3745,ATM Withdrawal - DEF Bank ATM,Cash Withdrawal,Cash Withdrawal,76.7,non-fraud,2023-10-12,16400,spending,October
29,24924,Hy-Vee,Groceries,Groceries,78.46,non-fraud,2023-10-13,16400,spending,October
30,7589,ATM Withdrawal - STU Bank ATM,Cash Withdrawal,Cash Withdrawal,76.04,non-fraud,2023-10-14,16400,spending,October
31,4171,Credit Card Payment - Visa **** 7890,Credit Card Payment,Credit Card Payment,475.24,non-fraud,2023-10-14,16400,spending,October
32,23550,Smart & Final,Groceries,Groceries,77.41,non-fraud,2023-10-15,16400,spending,October
33,6719,ATM Withdrawal - JKL Bank ATM,Cash Withdrawal,Cash Withdrawal,46.54,non-fraud,2023-10-15,16400,spending,October
34,11731,Spire Healthcare,Healthcare,Healthcare,77.63,non-fraud,2023-10-15,16400,spending,October
35,5372,Transfer from Current to Savings,Transfers,Transfers,773.58,non-fraud,2023-10-15,16400,spending,October
36,12980,Whole Foods Market - Grocery Shopping,Groceries,Groceries,52.17,non-fraud,2023-10-17,16400,spending,October
37,484,Interest Earned - Savings Account,Interest,Interest,3.14,non-fraud,2023-10-17,16400,spending,October
38,2115,Electronics Store - Gadget Purchase,Electronics,Electronics,300.22,non-fraud,2023-10-18,16400,spending,October
39,9829,ATM Withdrawal - MNO Bank ATM,Cash Withdrawal,Cash Withdrawal,59.87,non-fraud,2023-10-20,16400,spending,October
40,863,ATM Withdrawal - GHI Bank ATM,Cash Withdrawal,Cash Withdrawal,41.46,non-fraud,2023-10-20,16400,spending,October
41,15310,House of Fraser,Home Improvement,Home Improvement,66.75,non-fraud,2023-10-20,16400,spending,October
42,17394,Uniqlo - Everyday Wear,Shopping,Shopping,117.85,non-fraud,2023-10-20,16400,spending,October
43,3366,Superdrug ,Personal care,Personal care,22.4,non-fraud,2023-10-20,16400,spending,October
44,6323,Credit Card Payment - Visa **** 1234,Credit Card Payment,Credit Card Payment,154.78,non-fraud,2023-10-22,16400,spending,October
45,19996,French Brasserie,Dining Out,restaurants,21.41,non-fraud,2023-10-22,16400,spending,October
46,4356,Transfer from Savings to Current,Transfers,Transfers,395.99,non-fraud,2023-10-22,16400,spending,October
47,38459,Albertsons,Groceries,Groceries,32.01,non-fraud,2023-10-22,16400,spending,October
48,8187,Transfer from Savings to Current,Transfers,Transfers,101.81,non-fraud,2023-10-24,16400,spending,October
49,30119,Co-op,Groceries,Groceries,45.57,non-fraud,2023-10-24,16400,spending,October
50,7842,ATM Withdrawal - ABC Bank ATM,Cash Withdrawal,Cash Withdrawal,23.91,non-fraud,2023-10-24,16400,spending,October
51,2305,Hy-Vee,Groceries,Groceries,34.12,non-fraud,2023-10-25,16400,spending,October
52,32486,Boohoo - Trendy Fashion,Shopping,Shopping,216.63,non-fraud,2023-10-25,16400,spending,October
53,19609,Furniture Village,Home Improvement,Home Improvement,343.77,non-fraud,2023-10-25,16400,spending,October
54,8698,Online Retailer - Electronics Purchase,Online Shopping,Online Shopping,96.32,non-fraud,2023-10-26,16400,spending,October
55,11603,Online Retailer - Electronics Purchase,Online Shopping,Online Shopping,114.66,non-fraud,2023-10-26,16400,spending,October
56,15286,GPDQ,Healthcare,Healthcare,186.21,non-fraud,2023-10-27,16400,spending,October
57,33833,Trader Joe's,Groceries,Groceries,43.96,non-fraud,2023-10-29,16400,spending,October
58,1324,Transfer to Vacation Fund,Transfers,Transfers,258.42,non-fraud,2023-10-29,16400,spending,October
59,732,Sallys,Personal care,Personal care,34.9,non-fraud,2023-10-29,16400,spending,October
60,8059,Transfer from Savings to Current,Transfers,Transfers,251.99,non-fraud,2023-10-29,16400,spending,October
61,16469,Australian Outback,Dining Out,restaurants,10.38,non-fraud,2023-10-29,16400,spending,October
62,2690,Paintball ,Entertainment,Entertainment,31.76,non-fraud,2023-10-30,16400,spending,October
63,3298,First Bus,Transportation,Transportation,17.01,non-fraud,2023-10-30,16400,spending,October
64,3071,DesignMyNight ,Entertainment,Entertainment,46.91,non-fraud,2023-10-30,16400,spending,October
65,1012,Vue,Entertainment,Entertainment,24.77,non-fraud,2023-10-31,16400,spending,October
66,8003,Online Shopping - Amazon,Online Shopping,Online Shopping,98.6,non-fraud,2023-10-31,16400,spending,October
67,15812,Meijer,Groceries,Groceries,20.83,non-fraud,2023-10-31,16400,spending,October
68,192,Online Shopping - Amazon,Online Shopping,Online Shopping,58.31,non-fraud,2023-10-31,16400,spending,October
69,4560,Direct Debit Mortg. TSB ,Housing,Housing,1230.96,non-fraud,2023-11-01,16400,spending,November
70,9157,BFI Player,Utilities,TV,19.66,non-fraud,2023-11-01,16400,spending,November
71,11538,Transfer from Current to Savings,Transfers,Transfers,708.25,non-fraud,2023-11-01,16400,spending,November
72,14481,Boohoo - Trendy Fashion,Shopping,Shopping,207.81,non-fraud,2023-11-01,16400,spending,November
73,1349,ATM Withdrawal - MNO Bank ATM,Cash Withdrawal,Cash Withdrawal,87.31,non-fraud,2023-11-01,16400,spending,November
74,1604,Paycheck Deposit - Company Name,Income,Income,14243.649444520548,non-fraud,2023-11-01,16400,income,November
75,10847,Bulb,Utilities,Bills,106.55,non-fraud,2023-11-02,16400,spending,November
76,968,GiffGaff,Utilities,Mobile,16.23,non-fraud,2023-11-03,16400,spending,November
77,6052,ATM Withdrawal - ABC Bank ATM,Cash Withdrawal,Cash Withdrawal,79.93,non-fraud,2023-11-03,16400,spending,November
78,5604,ATM Withdrawal - ABC Bank ATM,Cash Withdrawal,Cash Withdrawal,75.99,non-fraud,2023-11-03,16400,spending,November
79,9658,Transfer to Emergency Fund,Transfers,Transfers,690.57,non-fraud,2023-11-04,16400,spending,November
80,10827,The Range,Home Improvement,Home Improvement,272.59,non-fraud,2023-11-04,16400,spending,November
81,23123,Morrisons,Groceries,Groceries,76.16,non-fraud,2023-11-05,16400,spending,November
82,4952,Credit Card Payment - American Express **** 5678,Credit Card Payment,Credit Card Payment,33.02,non-fraud,2023-11-06,16400,spending,November
83,78,Online Shopping - Electronics,Online Shopping,Online Shopping,58.45,non-fraud,2023-11-07,16400,spending,November
84,1919,Everyman cinema ,Entertainment,Entertainment,16.89,non-fraud,2023-11-07,16400,spending,November
85,1382,Savings Account Interest - October,Interest,Interest,12.2,non-fraud,2023-11-07,16400,spending,November
86,14727,Smith's Food and Drug,Groceries,Groceries,32.91,non-fraud,2023-11-07,16400,spending,November
87,3135,Zara - Affordable Fashion,Online Shopping,Online Shopping,266.06,non-fraud,2023-11-08,16400,spending,November
88,2464,ATM Withdrawal - STU Bank ATM,Cash Withdrawal,Cash Withdrawal,90.54,non-fraud,2023-11-08,16400,spending,November
89,24821,Publix Super Markets,Groceries,Groceries,40.25,non-fraud,2023-11-08,16400,spending,November
90,8413,Forever 21 - Activewear,Online Shopping,Online Shopping,63.4,non-fraud,2023-11-09,16400,spending,November
91,11963,Save Mart Supermarkets,Groceries,Groceries,93.91,non-fraud,2023-11-09,16400,spending,November
92,17060,Spire Healthcare,Healthcare,Healthcare,134.59,non-fraud,2023-11-09,16400,spending,November
93,15468,Moe's Tavern,Dining Out,bars,21.95,non-fraud,2023-11-09,16400,spending,November
94,6625,Marks & Spencer,Home Improvement,Home Improvement,532.16,non-fraud,2023-11-10,16400,spending,November
95,9141,Grocery Shopping - Mega Mart,Groceries,Groceries,30.97,non-fraud,2023-11-10,16400,spending,November
96,4516,Sanctuary spa,Personal care,Personal care,14.53,non-fraud,2023-11-11,16400,spending,November
97,33867,Trader Joe's,Groceries,Groceries,85.71,non-fraud,2023-11-11,16400,spending,November
98,11291,Transfer to Vacation Fund,Transfers,Transfers,117.45,non-fraud,2023-11-11,16400,spending,November
99,9817,ATM Withdrawal - VWX Bank ATM,Cash Withdrawal,Cash Withdrawal,60.8,non-fraud,2023-11-11,16400,spending,November
100,736,Credit Card Payment - American Express **** 6789,Credit Card Payment,Credit Card Payment,535.76,non-fraud,2023-11-11,16400,spending,November
101,2878,Transfer to Investment Account,Transfers,Transfers,577.12,non-fraud,2023-11-11,16400,spending,November
102,2276,Everyman cinema ,Entertainment,Entertainment,15.94,non-fraud,2023-11-11,16400,spending,November
103,6838,Credit Card Payment - Mastercard **** 5678,Credit Card Payment,Credit Card Payment,75.94,non-fraud,2023-11-12,16400,spending,November
104,3207,Waterstones ,Personal care,Personal care,33.33,non-fraud,2023-11-12,16400,spending,November
105,10881,ATM Withdrawal - DEF Bank ATM,Cash Withdrawal,Cash Withdrawal,36.41,non-fraud,2023-11-12,16400,spending,November
106,15898,Transfer from Savings to Current - Emergency Fund,Transfers,Transfers,77.79,non-fraud,2023-11-13,16400,spending,November
107,12073,Arby's,Dining Out,fast_food,14.29,non-fraud,2023-11-13,16400,spending,November
108,9822,Transfer to Vacation Fund,Transfers,Transfers,300.34,non-fraud,2023-11-14,16400,spending,November
109,331,Boots ,Personal care,Personal care,26.0,non-fraud,2023-11-14,16400,spending,November
110,1560,DesignMyNight ,Entertainment,Entertainment,41.34,non-fraud,2023-11-14,16400,spending,November
111,16113,Panda Express,Dining Out,fast_food,17.2,non-fraud,2023-11-15,16400,spending,November
112,1814,Transfer to Vacation Fund,Transfers,Transfers,1295.8,non-fraud,2023-11-15,16400,spending,November
113,25870,Kmart Super Centers,Groceries,Groceries,91.39,non-fraud,2023-11-15,16400,spending,November
114,1313,ATM Withdrawal - GHI Bank ATM,Cash Withdrawal,Cash Withdrawal,78.03,non-fraud,2023-11-15,16400,spending,November
115,8854,ATM Withdrawal - GHI Bank ATM,Cash Withdrawal,Cash Withdrawal,49.59,non-fraud,2023-11-16,16400,spending,November
116,7837,Transfer from Current to Savings,Transfers,Transfers,75.23,non-fraud,2023-11-16,16400,spending,November
117,21515,Food City,Groceries,Groceries,63.01,non-fraud,2023-11-16,16400,spending,November
118,11094,ATM Withdrawal - PQR Bank ATM,Cash Withdrawal,Cash Withdrawal,16.38,non-fraud,2023-11-17,16400,spending,November
119,12485,Neiman Marcus - Designer Shopping,Shopping,Luxury shopping,570.17,non-fraud,2023-11-17,16400,spending,November
120,249,Transfer from Current to Savings,Transfers,Transfers,111.05,non-fraud,2023-11-17,16400,spending,November
121,18221,Pathology/Diagnostics,Healthcare,Healthcare,109.59,non-fraud,2023-11-17,16400,spending,November
122,5352,Payless ShoeSource - Inexpensive Shoes,Online Shopping,Online Shopping,262.32,non-fraud,2023-11-17,16400,spending,November
123,5775,ATM Withdrawal - MNO Bank ATM,Cash Withdrawal,Cash Withdrawal,63.68,non-fraud,2023-11-17,16400,spending,November
124,244,Interest Earned - Savings Account,Interest,Interest,9.11,non-fraud,2023-11-17,16400,spending,November
125,20313,The Shamrock Pub,Dining Out,bars,34.25,non-fraud,2023-11-17,16400,spending,November
126,16961,Macmillan Cancer Support,Charity,Charity,18.62,non-fraud,2023-11-17,16400,spending,November
127,27925,Woolworths,Groceries,Groceries,39.16,non-fraud,2023-11-18,16400,spending,November
128,6248,Online Shopping - Amazon,Online Shopping,Online Shopping,209.52,non-fraud,2023-11-19,16400,spending,November
129,5807,Gas Station - Fuel Purchase,Transportation,Fuel,60.67,non-fraud,2023-11-19,16400,spending,November
130,15428,Transfer to Emergency Fund,Transfers,Transfers,233.7,non-fraud,2023-11-21,16400,spending,November
131,25025,Topshop - Affordable Style,Shopping,Shopping,38.53,non-fraud,2023-11-21,16400,spending,November
132,10403,ATM Withdrawal - GHI Bank ATM,Cash Withdrawal,Cash Withdrawal,100.39,non-fraud,2023-11-21,16400,spending,November
133,6953,Brewed Awakening,Dining Out,cafes,3.21,non-fraud,2023-11-22,16400,spending,November
134,6788,Credit Card Payment - Discover **** 9012,Credit Card Payment,Credit Card Payment,152.03,non-fraud,2023-11-23,16400,spending,November
135,3566,Car Loan,Loan Payment,Loan Payment,145.11,non-fraud,2023-11-24,16400,spending,November
136,22305,Zara - Kids' Clothing,Shopping,Shopping,43.13,non-fraud,2023-11-25,16400,spending,November
137,3457,Stagecoach,Transportation,Transportation,104.71,non-fraud,2023-11-27,16400,spending,November
138,5098,ATM Withdrawal - ABC Bank ATM,Cash Withdrawal,Cash Withdrawal,44.85,non-fraud,2023-11-27,16400,spending,November
139,3034,Trainline ,Transportation,Transportation,11.69,non-fraud,2023-11-28,16400,spending,November
140,1398,EE,Utilities,Mobile,31.41,non-fraud,2023-10-01,17216,spending,October
141,16141,Medica,Healthcare,Healthcare,51.41,non-fraud,2023-10-01,17216,spending,October
