"",transaction_description,category,Subcategory,Amount,origin,date,customer_id,type
4859,Synlab/iPP,Healthcare,Healthcare,61.10046133464255,non-fraud,2024-02-15T00:00:00.000000000,1,spending
12224,Totally Plc,Healthcare,Healthcare,26.809093568085657,non-fraud,2024-02-07T00:00:00.000000000,1,spending
5348,Grocery Store - Fresh Produce,Groceries,Groceries,33.93779925398546,non-fraud,2024-02-04T00:00:00.000000000,1,spending
8090,ATM Withdrawal - MNO Bank ATM,Cash Withdrawal,Cash Withdrawal,13.574164111019668,non-fraud,2024-02-28T00:00:00.000000000,1,spending
1050,ATM Withdrawal - ABC Bank ATM,Cash Withdrawal,Cash Withdrawal,20.89398791182295,non-fraud,2024-02-13T00:00:00.000000000,1,spending
624,ATM Withdrawal - VWX Bank ATM,Cash Withdrawal,Cash Withdrawal,3.4735717383707487,non-fraud,2024-02-11T00:00:00.000000000,1,spending
4723,Trading 212,Investment,Investment,78.55910113107545,non-fraud,2024-02-19T00:00:00.000000000,1,spending
3161,Monthly Service Fee - Current Account Maintenance,Bank Fees,Bank Fees,2.541870928216284,non-fraud,2024-02-12T00:00:00.000000000,1,spending
5378,Monthly Account Maintenance Fee,Bank Fees,Bank Fees,1.581502400826297,non-fraud,2024-02-18T00:00:00.000000000,1,spending
793,Monthly Service Fee - Account Maintenance,Bank Fees,Bank Fees,1.204044123891924,non-fraud,2024-02-21T00:00:00.000000000,1,spending
608,Savings Account Interest - October,Interest,Interest,1.457275626139035,non-fraud,2024-02-16T00:00:00.000000000,1,income
926,Interest Earned - Savings Account,Interest,Interest,2.8858835350425482,non-fraud,2024-02-20T00:00:00.000000000,1,income
2011,Cinemacity,Entertainment,Entertainment,15.337228721004271,non-fraud,2024-02-22T00:00:00.000000000,1,spending
523,TFL,Transportation,Transportation,12.212447542332372,non-fraud,2024-02-07T00:00:00.000000000,1,spending
2597,Paycheck Deposit - ABC Inc.,Income,Income,1769.7011865246263,non-fraud,2024-02-23T00:00:00.000000000,1,income
5841,Chase Credit Card Payment - Visa **** 1234,Credit Card Payment,Credit Card Payment,234.21047186134217,non-fraud,2024-02-21T00:00:00.000000000,1,spending
7279,Transfer from Savings to Current,Transfers,Transfers,385.5855747706435,non-fraud,2024-02-03T00:00:00.000000000,1,spending
3172,Transfer to Emergency Fund,Transfers,Transfers,196.20663471278516,non-fraud,2024-02-26T00:00:00.000000000,1,spending
5951,Transfer from Savings to Current,Transfers,Transfers,198.85839855707096,non-fraud,2024-02-14T00:00:00.000000000,1,spending
6056,Transfer from Savings to Current - Emergency Fund,Transfers,Transfers,418.1998810789224,non-fraud,2024-02-02T00:00:00.000000000,1,spending
6229,Transfer from Current to Savings,Transfers,Transfers,270.6614743263084,non-fraud,2024-02-06T00:00:00.000000000,1,spending
14784,Transfer to Vacation Fund,Transfers,Transfers,268.6404002612041,non-fraud,2024-02-24T00:00:00.000000000,1,spending
14931,Transfer to Emergency Fund,Transfers,Transfers,216.92383836832238,non-fraud,2024-02-23T00:00:00.000000000,1,spending
8579,Transfer to Emergency Fund,Transfers,Transfers,59.848637682024766,non-fraud,2024-02-27T00:00:00.000000000,1,spending
4300,Jet2Holidays,Holiday,Holiday,162.8565236621279,non-fraud,2024-02-14T00:00:00.000000000,1,spending
3098,Mortgage payments,Housing,Housing,511.7139747011951,non-fraud,2024-02-02T00:00:00.000000000,1,spending
6235,Laura Ashley,Home Improvement,Home Improvement,322.6312677214372,non-fraud,2024-02-02T00:00:00.000000000,1,spending
4191,Sanctuary spa,Personal care,Personal care,14.47719720393861,non-fraud,2024-02-09T00:00:00.000000000,1,spending
734,Boots ,Personal care,Personal care,6.956699382486672,non-fraud,2024-02-06T00:00:00.000000000,1,spending
