"",transaction_description,Category,Subcategory,Amount,origin,date,customer_id,type,fraud_type,customer_scammed,bank_to,bank_from,factor_increase,newAmount
17949,Pharmacy MYH,Healthcare,Healthcare,7.231346934242317,non-fraud,2024-02-12T00:00:00.000000000,1,spending,none,1,bank_A,bank_C,1.6417497472813303,11.872062001795946
1948,ZoomDoc,Healthcare,Healthcare,23.537781969535917,non-fraud,2024-02-24T00:00:00.000000000,1,spending,none,1,bank_E,bank_C,1.6417497472813303,38.64314760004864
4700,Rituals ,Personal care,Personal care,8.399696599946525,non-fraud,2024-02-17T00:00:00.000000000,1,spending,none,1,bank_B,bank_C,1.6417497472813303,13.790199770202056
4575,Sallys,Personal care,Personal care,9.467125696520135,non-fraud,2024-02-08T00:00:00.000000000,1,spending,none,1,bank_E,bank_C,1.6417497472813303,15.54265121974252
2562,Sallys,Personal care,Personal care,10.670409405384932,non-fraud,2024-02-24T00:00:00.000000000,1,spending,none,1,bank_E,bank_C,1.6417497472813303,17.51814194467904
9925,Help for Heroes,Charity,Charity,10.142517197624892,non-fraud,2024-02-18T00:00:00.000000000,1,spending,none,1,bank_B,bank_C,1.6417497472813303,16.651475045997213
8939,Marie Curie,Charity,Charity,0.9238113635800705,non-fraud,2024-02-19T00:00:00.000000000,1,spending,none,1,bank_B,bank_C,1.6417497472813303,4.923811363580071
15538,The Range,Home Improvement,Home Improvement,311.92995294126735,non-fraud,2024-02-04T00:00:00.000000000,1,spending,none,1,bank_A,bank_C,1.6417497472813303,512.1109214108029
3371,Moe's Tavern,Dining Out,bars,2.880117780573161,non-fraud,2024-02-17T00:00:00.000000000,1,spending,none,1,bank_A,bank_C,1.6417497472813303,4.728432638396453
1924,Virgin Trains,Transportation,Transportation,7.421543391449979,non-fraud,2024-02-22T00:00:00.000000000,1,spending,none,1,bank_A,bank_C,1.6417497472813303,12.18431698735043
1619,Gas Station - Fuel Purchase,Transportation,Fuel,9.284692360014828,non-fraud,2024-02-19T00:00:00.000000000,1,spending,none,1,bank_E,bank_C,1.6417497472813303,15.243141335639242
4060,National express,Transportation,Transportation,49.46660511539672,non-fraud,2024-02-25T00:00:00.000000000,1,spending,none,1,bank_C,bank_C,1.6417497472813303,81.21178644706792
3688,Stagecoach,Transportation,Transportation,11.51270800159029,non-fraud,2024-02-26T00:00:00.000000000,1,spending,none,1,bank_C,bank_C,1.6417497472813303,18.90098545213461
6314,ATM Withdrawal - XYZ Bank Branch,Cash Withdrawal,Cash Withdrawal,2.4453830212413634,non-fraud,2024-02-23T00:00:00.000000000,1,spending,none,1,nan,bank_C,1.6417497472813303,4.014706957129064
3144,ATM Withdrawal - DEF Bank ATM,Cash Withdrawal,Cash Withdrawal,11.419550553162049,non-fraud,2024-02-07T00:00:00.000000000,1,spending,none,1,nan,bank_C,1.6417497472813303,18.74804423472017
