,Unnamed: 0,Descriptions,Amount,Category,date,customer_id,type,is_scam_transaction,fraud_type,case_id,transaction_id,month,customer_scammed,In_or_Out,bank_to,bank_from,transac_prob,customer_prob,priority,date_DF_created,preds,diff
287,288,Inheritance Release - Pay the Legal Fees,25.45,Utilities,01/10/2023,16417,spending,1,AdvanceFee,1391063,8204865,October,1,paid_out,bank_B,bank_D,0.32,0.69,1,03/11/2023,,-1
388,389,Hotel Reservation - Travel Website,69.4,Holiday,01/10/2023,15097,spending,1,Purchase,8251619,7149052,October,1,paid_out,bank_A,bank_C,0.3,0.42,1,03/11/2023,1,0
865,866,Forex Trading Profits - Expert Strategy,105.2,Shopping,01/10/2023,12168,spending,1,Investment,2664712,4358227,October,1,paid_out,bank_C,bank_D,0.67,0.84,2,03/11/2023,,-1
873,874,V&I visa check fees ,167.75,Utilities,01/10/2023,13395,spending,1,Impersonation,2692658,3089718,October,1,paid_out,bank_A,bank_C,0.54,0.7,3,03/11/2023,,-1
920,921,Bank Account Verification - Immediate Response Needed,53.25,Transfers,01/10/2023,14647,spending,1,Impersonation,5675711,1326138,October,1,paid_out,bank_D,bank_A,0.36,0.6,1,03/11/2023,,-1
943,944,Emergency Medical Expense for My Partner,11.35,Healthcare,01/10/2023,15391,spending,1,Romance,4898053,6201967,October,1,paid_out,bank_B,bank_D,0.34,0.67,1,03/11/2023,,-1
957,958,HMRC tax rebate upfront fee,188.05,Utilities,01/10/2023,14010,spending,1,Impersonation,5904993,6553415,October,1,paid_out,bank_B,bank_C,0.59,0.45,3,03/11/2023,,-1
965,966,Sport event tickets,34.35,Entertainment,01/10/2023,10710,spending,1,Purchase,4635168,8116750,October,1,paid_out,bank_B,bank_A,0.38,0.87,1,03/11/2023,,-1
966,967,V&I visa check fees ,53.05,Utilities,01/10/2023,10710,spending,1,Impersonation,6372290,5763036,October,1,paid_out,bank_D,bank_A,0.6,0.87,1,03/11/2023,1,0
1084,1085,Bank Account Verification - Immediate Response Needed,120.05,Transfers,01/10/2023,18118,spending,1,Impersonation,4565357,4582030,October,1,paid_out,bank_C,bank_D,0.46,0.56,2,03/11/2023,,-1
1525,1526,Hotel Reservation - Travel Website,50.95,Holiday,01/10/2023,19879,spending,1,Purchase,1896029,4396519,October,1,paid_out,bank_E,bank_A,0.54,0.61,1,03/11/2023,1,0
1777,1778,Electronics Purchase - Online Store,36.2,Electronics,01/10/2023,15496,spending,1,Purchase,8191745,5117380,October,1,paid_out,bank_B,bank_D,0.3,0.8,1,03/11/2023,,-1
1844,1845,V&I visa check fees ,176.95,Utilities,01/10/2023,17804,spending,1,Impersonation,1327772,5381220,October,1,paid_out,bank_E,bank_A,0.54,0.62,3,03/11/2023,1,0
1897,1898,Traffic Violation Fine,184.85,Utilities,01/10/2023,14687,spending,1,Impersonation,6138682,2225644,October,1,paid_out,Intrnl,bank_E,0.79,0.7,4,03/11/2023,,-1
1998,1999,Bitcoin Doubler - Double Your Coins,471.45,Investment,02/10/2023,11348,spending,1,Investment,5022647,6599465,October,1,paid_out,Intrnl,bank_E,0.66,0.56,4,03/11/2023,1,0
2169,2170,Police Admin Fees,149.65,Utilities,02/10/2023,16244,spending,1,Impersonation,3769179,2118435,October,1,paid_out,bank_A,bank_B,0.43,0.66,2,03/11/2023,,-1
2175,2176,Sport event tickets,31.75,Entertainment,02/10/2023,14620,spending,1,Purchase,4330519,6887051,October,1,paid_out,bank_A,bank_C,0.22,0.53,1,03/11/2023,,-1
2270,2271,Facebook Marketplace Upfront payment,36.4,Utilities,02/10/2023,18243,spending,1,Purchase,6738535,3303638,October,1,paid_out,bank_B,bank_C,0.22,0.74,1,03/11/2023,1,0
2271,2272,Designer Handbag - Luxury Boutique,30.55,Shopping,02/10/2023,18243,spending,1,Purchase,4092526,2689295,October,1,paid_out,bank_A,bank_C,0.27,0.74,1,03/11/2023,1,0
2344,2345,Inheritance release banking charges covered,80.55,Utilities,02/10/2023,11824,spending,1,AdvanceFee,4722564,6427408,October,1,paid_out,bank_A,bank_C,0.62,0.79,2,03/11/2023,,-1
