,Descriptions,Amount,Category,date,customer_id,type,month,fraud_type,is_scammed,is_scam_transaction
0,Water Bill Payment - Municipality,65.75,Utilities,2023-10-01,14436,spending,October,none,1,0.0
1,Car Loan Payment - Auto Finance Inc.,300.0,Loan Payment,2023-10-01,14436,spending,October,none,1,0.0
2,Paycheck Deposit - ABC Corp.,10813.912139444998,Income,2023-10-01,14436,income,October,none,1,0.0
3,Rent Payment - Apt #303,1500.0,Housing,2023-10-01,14436,spending,October,none,1,0.0
4,ATM Withdrawal - PQR Bank ATM,80.0,Cash Withdrawal,2023-10-01,14436,spending,October,none,1,0.0
5,Utilities Payment - Gas and Electric,95.0,Utilities,2023-10-02,14436,spending,October,none,1,0.0
6,Lululemon - Activewear Shopping,180.0,Shopping,2023-10-03,14436,spending,October,none,1,0.0
7,Pharmacy - Prescription Medications,32.5,Healthcare,2023-10-03,14436,spending,October,none,1,0.0
8,Phone Bill Payment - Mobile Co.,65.0,Utilities,2023-10-03,14436,spending,October,none,1,0.0
9,Utilities Payment - Internet Service,60.0,Utilities,2023-10-04,14436,spending,October,none,1,0.0
10,Amazon Prime Membership Renewal,12.99,Online Shopping,2023-10-04,14436,spending,October,none,1,0.0
11,ATM Withdrawal - PQR Bank ATM,70.0,Cash Withdrawal,2023-10-04,14436,spending,October,none,1,0.0
12,Grocery Shopping - Fresh Grocers,58.4,Groceries,2023-10-04,14436,spending,October,none,1,0.0
13,Restaurant Lunch - Business Meeting,75.0,Dining Out,2023-10-04,14436,spending,October,none,1,0.0
14,Transfer from Checking to Savings,150.0,Transfers,2023-10-08,14436,spending,October,none,1,0.0
15,Morrisons,45.0,Groceries,2023-10-08,14436,spending,October,none,1,0.0
16,Behavioral Therapy - Mental Health Counseling,120.0,Healthcare,2023-10-08,14436,spending,October,none,1,0.0
17,Credit Card Payment - Visa **** 4567,95.75,Credit Card Payment,2023-10-08,14436,spending,October,none,1,0.0
18,Transfer from Savings to Checking - Emergency Fund,500.0,Transfers,2023-10-09,14436,spending,October,none,1,0.0
19,Coffee Shop - Cappuccino,5.25,Dining Out,2023-10-10,14436,spending,October,none,1,0.0
20,Transfer to Vacation Fund,300.0,Transfers,2023-10-10,14436,spending,October,none,1,0.0
21,ATM Withdrawal - ABC Bank ATM,60.0,Cash Withdrawal,2023-10-10,14436,spending,October,none,1,0.0
22,Tesco,55.0,Groceries,2023-10-11,14436,spending,October,none,1,0.0
23,Gas Station - Fuel Purchase,40.45,Transportation,2023-10-12,14436,spending,October,none,1,0.0
24,ATM Withdrawal - DEF Bank ATM,80.0,Cash Withdrawal,2023-10-12,14436,spending,October,none,1,0.0
25,Target Grocery,50.0,Groceries,2023-10-15,14436,spending,October,none,1,0.0
26,ATM Withdrawal - JKL Bank ATM,100.0,Cash Withdrawal,2023-10-15,14436,spending,October,none,1,0.0
