,0
0,Water Bill Payment - Municipality
1,Car Loan Payment - Auto Finance Inc.
2,Paycheck Deposit - ABC Corp.
3,Rent Payment - Apt #303
4,ATM Withdrawal - PQR Bank ATM
5,Utilities Payment - Gas and Electric
6,Lululemon - Activewear Shopping
7,Pharmacy - Prescription Medications
8,Phone Bill Payment - Mobile Co.
9,Utilities Payment - Internet Service
10,Amazon Prime Membership Renewal
11,Grocery Shopping - Fresh Grocers
12,Restaurant Lunch - Business Meeting
13,Transfer from Checking to Savings
14,Morrisons
15,Behavioral Therapy - Mental Health Counseling
16,Credit Card Payment - Visa **** 4567
17,Transfer from Savings to Checking - Emergency Fund
18,Coffee Shop - Cappuccino
19,Transfer to Vacation Fund
20,ATM Withdrawal - ABC Bank ATM
21,Tesco
22,Gas Station - Fuel Purchase
23,ATM Withdrawal - DEF Bank ATM
24,Target Grocery
25,ATM Withdrawal - JKL Bank ATM
26,Medical Lab - Blood Test
27,ATM Withdrawal - XYZ Bank ATM
28,ATM Withdrawal - GHI Bank ATM
29,Savings Account Interest - October
30,Online Retailer - Electronics Purchase
31,Coffee Shop - Morning Espresso
32,SuperValu
33,Credit Card Payment - American Express **** 3456
34,Fuel Purchase - Gas Station
35,HEB Grocery
36,Online Retailer - Clothing Purchase
37,Credit Card Payment - Visa **** 7890
38,Home Improvement - Hardware Store
39,Whole Foods Market
40,Smart & Final
41,Transfer to Emergency Fund
42,Target - Back-to-School Shopping
43,Transfer from Savings to Checking
44,Electronics Store - Gadget Purchase
45,Giant Food
46,Target - Discount Shopping
47,Coles
48,Credit Card Payment - Mastercard **** 5678
49,ATM Withdrawal - XYZ Bank Branch
50,Fast Food - Lunch Combo
51,Cotton On - Kids' Fashion
52,Kmart Super Centers
53,Coffee Shop - Morning Brew
54,Credit Card Payment - Mastercard **** 2345
55,Credit Card Payment - Visa **** 1234
56,Online Retailer - Outdoor Gear
57,Home Health Aide - In-Home Care
58,New Balance - Affordable Sportswear
59,Chase Credit Card Payment - Visa **** 1234
60,ATM Withdrawal - VWX Bank ATM
61,Transfer to Savings Account - Rainy Day Fund
62,Charitable Donation - Charity Name
63,Price Chopper
64,Save Mart Supermarkets
65,Kohl's - Department Store Purchase
66,Lidl
67,Online Shopping - Tech Accessories
68,Shaw's
69,Orthopedic Clinic - Knee Examination
70,Walmart Grocery
71,Home Depot - Home Improvement
72,Costco Wholesale
73,Monthly Service Fee - Bank Account
74,Maternity Clinic - Prenatal Checkup
75,Sainsbury's
76,Coffee Shop - Afternoon Pick-Me-Up
77,C&A - Budget Clothing
78,Meijer
79,Festival Foods
80,Online Shopping - Amazon
81,Credit Card Payment - Discover **** 9012
82,ATM Withdrawal - MNO Bank ATM
83,Transfer to Investment Account
84,Payless ShoeSource - Inexpensive Shoes
85,Walmart - Household Supplies
86,Restaurant - Dinner with Friends
87,Primark - Budget Fashion
88,Online Retailer - Tech Gadgets
89,Credit Card Payment - American Express **** 5678
90,Online Retailer - Home Decor
91,Netflix Subscription - Monthly Charge
92,Credit Card Payment - Mastercard **** 6789
93,Neurology Clinic - Neurological Assessment
94,Pain Management Clinic - Chronic Pain Relief
95,Wegmans
96,Physiatrist - Physical Medicine
97,Grocery Shopping - Neighborhood Store
98,Aldi
99,Electronics Store Purchase - Tech Haven
100,Gelson's Markets
101,Home Improvement Store - DIY Supplies
102,Grocery Store - Fresh Produce
103,Uniqlo - Affordable Denim
104,Smith's Food and Drug
105,ATM Withdrawal - STU Bank ATM
106,Credit Card Payment - American Express **** 6789
107,WinCo Foods
108,Online Shopping - Apparel
109,Physical Therapy Session - Back Pain
110,Woolworths
111,Zara - Clothing Purchase
112,Marks & Spencer
113,IGA
114,Hy-Vee
115,Waitrose
116,Plastic Surgery Center - Cosmetic Procedure
117,Old Navy - Family Apparel
118,Decathlon - Sportswear Shopping
119,Home Improvement - Renovation Supplies
120,Infusion Center - IV Therapy
121,Fast Food - Lunch on the Go
122,Whole Foods Market - Grocery Shopping
123,Trader Joe's
124,Amazon.com - Online Shopping
125,Albertsons
126,Nike - Sportswear Shopping
127,Publix Super Markets
128,Pediatric Urgent Care - Child's Illness Treatment
129,Dining Out - Restaurant Name
130,Home Improvement - Paint and Supplies
131,Acme Markets
132,Topshop - Affordable Style
133,Cotton On - Affordable Clothing
134,Charlotte Russe - Jewelry
135,ENT Specialist - Ear and Throat Exam
136,Food 4 Less
137,Charitable Donation - Red Cross
138,Allergy Clinic - Allergy Testing
